all_frames_used,annotation_rows,array_dtype,array_shape,box_conversion,dataset,family,first_npy_sha256,frame_count,gt_source,identity_count,last_npy_sha256,oracle_score,sequence,sequence_path
True,3966,uint8,900x1200x8,OBB polygon to AABB min/max envelope,MMOT,data28,cbd3783fc3c2427528cee450074132dc04cd6448a410b2a7872bd707c4590813,186,per-frame official TXT,83,8ed1fcb46fec7b6e71c1981a6edd2b1548c59cc47fa7326baa4ed15ed1fc8e43,1.0,data28-1,<DATA_CACHE>/raw/MMOT/extracted/test/data28-1
True,968,uint8,900x1200x8,OBB polygon to AABB min/max envelope,MMOT,data28,be4a2ccab30df6a8a55403c84e58f64ab4b21d936fa981f1484d0aa8e3a2d088,51,per-frame official TXT,32,1c766324ae2069950785565943dd7751efe2dee75170dedc27352568d4b01d04,1.0,data28-2,<DATA_CACHE>/raw/MMOT/extracted/test/data28-2
True,303,uint8,900x1200x8,OBB polygon to AABB min/max envelope,MMOT,data28,e0026f3ffa9b3deb9f86b3ad7894785402af46272eba602edbc4eec00250f5a4,69,per-frame official TXT,22,17c1faa30d05e1ca0f567208a85e51d01eae35db748d7256b953bca0b8cbb2ee,1.0,data28-3,<DATA_CACHE>/raw/MMOT/extracted/test/data28-3
True,231,uint8,900x1200x8,OBB polygon to AABB min/max envelope,MMOT,data28,93290dc2eb13ca4cb0db9f9c49e0a974a6453d3b6044ab03c8d5b3723808fc51,43,per-frame official TXT,27,63e0219ae8ae05962b54d67beafab4a11783bb695881300d1642eae4e1f1c74f,1.0,data28-4,<DATA_CACHE>/raw/MMOT/extracted/test/data28-4
True,183,uint8,900x1200x8,OBB polygon to AABB min/max envelope,MMOT,data28,7c7ddb72f66dfc234956316b8ba0f1b7199af66e0eb684d77e9dae482f536bd0,31,per-frame official TXT,14,51230e8bf67b5671a589169cb4805f9e7e34f1a9eddc1ac80ba957ad1e854fd1,1.0,data28-5,<DATA_CACHE>/raw/MMOT/extracted/test/data28-5
True,244,uint8,900x1200x8,OBB polygon to AABB min/max envelope,MMOT,data28,f1be911835bb750740801826b67b88957df7f02fee6067447e4809063d09bef8,65,per-frame official TXT,15,3d88ec1fcdf6712163d20875ae1e0c44a6abaec6a17461d5529f65206c191bb4,1.0,data28-6,<DATA_CACHE>/raw/MMOT/extracted/test/data28-6
True,7170,uint8,900x1200x8,OBB polygon to AABB min/max envelope,MMOT,data30,0ea438ac0e18bdb6e8297c5ee508283276f8da3ff1b78ac10b59317609fb318f,68,per-frame official TXT,202,2f293023360db2b3b475c99b697d5ac3665ce14cba77ccc2d62672067bf2e748,1.0,data30-10,<DATA_CACHE>/raw/MMOT/extracted/confirmatory_data30/data30-10
True,4490,uint8,900x1200x8,OBB polygon to AABB min/max envelope,MMOT,data30,56e6b3c81972b10f73e8a88c3a4ee8000cb40b8ca3477ed53fe2cbb750333a3d,50,per-frame official TXT,142,22ad818eaf8a336a2ab1d8c39d283028bf420cb0e749429b0b4b3e58150dcebf,1.0,data30-2,<DATA_CACHE>/raw/MMOT/extracted/confirmatory_data30/data30-2
True,3785,uint8,900x1200x8,OBB polygon to AABB min/max envelope,MMOT,data30,33786c53925ede5f784ec419bbd5b8eba8db579d7fa93f0f018291d2029b6056,36,per-frame official TXT,133,f8efa5e3213c184488411d367bde1acbdcd70d2cde807a14ef9f244215e1f5b8,1.0,data30-3,<DATA_CACHE>/raw/MMOT/extracted/confirmatory_data30/data30-3
True,3038,uint8,900x1200x8,OBB polygon to AABB min/max envelope,MMOT,data30,524ff895495b6374a21b2e72dfb4f7a93f5cd56488b3cc25a3b4bb2bc1bfecf7,50,per-frame official TXT,86,f6a40ceb714e7ca1a8e4722ec5ab6cb4bc66b06ab206fb298d0b86c6a477ee13,1.0,data30-4,<DATA_CACHE>/raw/MMOT/extracted/confirmatory_data30/data30-4
True,2654,uint8,900x1200x8,OBB polygon to AABB min/max envelope,MMOT,data30,f41ee84348c7b2e48d4e1f112761b88748ac4ad4afaca7d9abe3d950a3545234,70,per-frame official TXT,82,c169f9d47221c9b5dda22c4b5705ac622f6e38cf94b60006d9a8987f3e850b23,1.0,data30-5,<DATA_CACHE>/raw/MMOT/extracted/confirmatory_data30/data30-5
True,3634,uint8,900x1200x8,OBB polygon to AABB min/max envelope,MMOT,data30,fb3d678177e0a82e438cc6a7b993e2f060ce6eb96cf305c4ac291d3ef8888880,37,per-frame official TXT,168,578302979016327406586c10bf83af36e0b1ab383cff1ac962e6007c3ca7f188,1.0,data30-9,<DATA_CACHE>/raw/MMOT/extracted/confirmatory_data30/data30-9
