created_at,priority,candidate,family,requested_paths,selected_model,status,reason
"2026-06-07T23:35:30+09:00","P1","CSFPR-RTDETR","RT-DETR / spatial-frequency","weights/csfpr-rtdetr.pt,weights/csfpr-rtdetr.yaml,external/CSFPR-RTDETR/csfpr-rtdetr.pt","","SKIPPED_EXTERNAL_REQUIRED","UAV-specific RT-DETR-style model; strongest frequency/position-relation comparison for our detector claim."
"2026-06-07T23:35:30+09:00","P1","LRDS-YOLO","lightweight UAV YOLO","weights/lrds-yolo.pt,weights/lrds-yolo.yaml,external/LRDS-YOLO/lrds-yolo.pt","","SKIPPED_EXTERNAL_REQUIRED","Lightweight UAV small-object YOLO-family comparison."
"2026-06-07T23:35:30+09:00","P1","BPD-YOLO","lightweight UAV YOLO","weights/bpd-yolo.pt,weights/bpd-yolo.yaml,external/BPD-YOLO/bpd-yolo.pt","","SKIPPED_EXTERNAL_REQUIRED","Recent UAV detector with high-resolution feature fusion and dynamic sampling."
"2026-06-07T23:35:30+09:00","P1","HF-D-FINE","D-FINE / non-YOLO","weights/hf-d-fine.pt,weights/hf-d-fine.yaml,external/HF-D-FINE/hf-d-fine.pt","","SKIPPED_EXTERNAL_REQUIRED","High-resolution D-FINE-style tiny-object comparison."
"2026-06-07T23:35:30+09:00","P2","UAVDet","CNN-Mamba / non-YOLO","weights/uavdet.pt,weights/uavdet.yaml,external/UAVDet/uavdet.pt","","SKIPPED_EXTERNAL_REQUIRED","CNN-Mamba UAV detector; run only if modality/protocol-compatible adapter is staged."
"2026-06-07T23:35:30+09:00","P2","SOD-YOLO","UAV YOLO","weights/sod-yolo.pt,weights/sod-yolo.yaml,external/SOD-YOLO/sod-yolo.pt","","SKIPPED_EXTERNAL_REQUIRED","UAV small-object YOLO comparison if public code and weights are staged."
"2026-06-07T23:42:54+09:00","P1","CSFPR-RTDETR","RT-DETR / spatial-frequency","external/CSFPR-RTDETR/weights/visdrone.pt,external/CSFPR-RTDETR/ultralytics/cfg/modelY/CSFPR-RTDETR.yaml","external/CSFPR-RTDETR/weights/visdrone.pt","QUEUED_RELATED_WORK","UAV-specific RT-DETR-style model with staged VisDrone checkpoint."
"2026-06-07T23:44:55+09:00","P1","CSFPR-RTDETR","RT-DETR / spatial-frequency","external/CSFPR-RTDETR/weights/visdrone.pt,external/CSFPR-RTDETR/ultralytics/cfg/modelY/CSFPR-RTDETR.yaml","external/CSFPR-RTDETR/weights/visdrone.pt","QUEUED_RELATED_WORK","UAV-specific RT-DETR-style model with staged VisDrone checkpoint."
"2026-06-08T07:41:14+09:00","P1","CSFPR-RTDETR","RT-DETR / spatial-frequency","external/CSFPR-RTDETR/weights/visdrone.pt,external/CSFPR-RTDETR/ultralytics/cfg/modelY/CSFPR-RTDETR.yaml","external/CSFPR-RTDETR/weights/visdrone.pt","QUEUED_RELATED_WORK","UAV-specific RT-DETR-style model with staged VisDrone checkpoint."
"2026-06-08T07:41:49+09:00","P1","LEAF-YOLO","YOLOv7 / lightweight UAV","weights/leaf-yolo.pt,external/LEAF-YOLO/weights/leaf-yolo.pt,external/LEAF-YOLO/runs/train/exp/weights/best.pt","","ADAPTER_REQUIRED_GITHUB_AVAILABLE","GitHub-backed lightweight UAV detector; use if YOLOv7 adapter/export and checkpoint are available. Repo is staged at external/LEAF-YOLO, but no loadable checkpoint/export is staged yet."
"2026-06-08T07:41:49+09:00","P1","DR-YOLO","YOLOv7 / drone small-object","weights/dr-yolo.pt,external/DR-YOLO/weights/dr-yolo.pt,external/DR-YOLO/runs/train/exp/weights/best.pt","","GITHUB_STAGING_REQUIRED","GitHub-backed drone small-object detector; run after staging code, weights, and YOLOv7 adapter. Public GitHub/code exists, but the repo/checkpoint is not staged locally yet."
"2026-06-08T07:41:49+09:00","P2","SOD-YOLO","UAV YOLO / release pending","weights/sod-yolo.pt,external/SOD-YOLO/sod-yolo.pt,external/SOD-YOLO/weights/sod-yolo.pt","","ADAPTER_REQUIRED_GITHUB_AVAILABLE","GitHub page exists, but code/weights may be release-pending; pass full reproduction unless runnable assets appear. Repo is staged at external/SOD-YOLO, but no loadable checkpoint/export is staged yet."
"2026-06-08T07:41:49+09:00","P2","UAVD-Mamba","Mamba / multimodal UAV","weights/uavd-mamba.pt,external/UAVD-Mamba/weights/uavd-mamba.pt","","GITHUB_STAGING_REQUIRED","GitHub-backed Mamba detector; only fair if modality/input adapter can match our VisDrone protocol. Public GitHub/code exists, but the repo/checkpoint is not staged locally yet."
"2026-06-08T07:41:49+09:00","P2","RF-DETR-B","RF-DETR / generic transformer","weights/rf-detr-b.pt,external/rf-detr/weights/rf-detr-b.pt,external/RF-DETR/weights/rf-detr-b.pt","","GITHUB_STAGING_REQUIRED","GitHub-backed generic detector sanity check; lower priority than UAV-specific candidates. Public GitHub/code exists, but the repo/checkpoint is not staged locally yet."
"2026-06-08T07:41:49+09:00","P1","LRDS-YOLO","lightweight UAV YOLO","weights/lrds-yolo.pt,weights/lrds-yolo.yaml,external/LRDS-YOLO/lrds-yolo.pt","","PASS_NO_PUBLIC_GITHUB","No staged public GitHub/code path is available now. Keep as cited related work; do not spend full reproduction time."
"2026-06-08T07:41:49+09:00","P1","BPD-YOLO","lightweight UAV YOLO","weights/bpd-yolo.pt,weights/bpd-yolo.yaml,external/BPD-YOLO/bpd-yolo.pt","","PASS_NO_PUBLIC_GITHUB","No staged public GitHub/code path is available now. Use only lightweight idea-level ablations if the module is simple."
"2026-06-08T07:41:49+09:00","P1","HF-D-FINE","D-FINE / non-YOLO","weights/hf-d-fine.pt,weights/hf-d-fine.yaml,external/HF-D-FINE/hf-d-fine.pt","","PASS_UNTIL_GITHUB_CONFIRMED","Keep as a paper-facing D-FINE target, but run only after a real public code/checkpoint path is confirmed and staged."
"2026-06-08T07:41:49+09:00","P2","UAVDet","CNN-Mamba / non-YOLO","weights/uavdet.pt,weights/uavdet.yaml,external/UAVDet/uavdet.pt","","PASS_UNTIL_GITHUB_CONFIRMED","Do not fully reproduce without compatible public code/checkpoint and fair modality assumptions."
"2026-06-08T07:41:49+09:00","P2","No-code lightweight ideas","module ablation","NMS,activation,wavelet,DCT,attention,P2 head","","LIGHTWEIGHT_ABLATION_ONLY","Allowed path for no-GitHub papers: test simple transferable ideas inside our proposed YOLO branch, not full model reproduction."
"2026-06-08T07:43:16+09:00","P1","CSFPR-RTDETR","RT-DETR / spatial-frequency","external/CSFPR-RTDETR/weights/visdrone.pt,external/CSFPR-RTDETR/ultralytics/cfg/modelY/CSFPR-RTDETR.yaml","external/CSFPR-RTDETR/weights/visdrone.pt","QUEUED_RELATED_WORK","UAV-specific RT-DETR-style model with staged VisDrone checkpoint."
"2026-06-08T07:43:49+09:00","P1","LEAF-YOLO","YOLOv7 / lightweight UAV","external/LEAF-YOLO/cfg/LEAF-YOLO/leaf-sizen/weights/best.pt,external/LEAF-YOLO/cfg/LEAF-YOLO/leaf-sizes/weights/best.pt","external/LEAF-YOLO/cfg/LEAF-YOLO/leaf-sizen/weights/best.pt;external/LEAF-YOLO/cfg/LEAF-YOLO/leaf-sizes/weights/best.pt","QUEUED_RELATED_WORK","GitHub-backed lightweight UAV detector with staged LEAF-YOLO-N and LEAF-YOLO weights."
