key,title,doi_or_url,version,decision,relevant_section,supported_claim,evidence_source
aharon2022botsort,{BoT-SORT}: Robust Associations Multi-Pedestrian Tracking,10.48550/arXiv.2206.14651,20260915_scope_audit,add,Related Work: aerial tracking,"BoT-SORT combines motion, appearance, and camera-motion compensation.",https://arxiv.org/abs/2206.14651
bai2025sffefyolo,{SFFEF-YOLO}: Small Object Detection Network Based on Fine-Grained Feature Extraction and Fusion for Unmanned Aerial Images,10.1016/j.imavis.2025.105469,prior_only,remove,Prior 54-page scope,Not required by the narrowed frozen-tracklet temporal-refinement narrative.,prior cited manuscript and retained main.bib metadata
bewley2016sort,Simple Online and Realtime Tracking,10.1109/ICIP.2016.7533003,20260915_scope_audit,add,Related Work: aerial tracking,SORT establishes the Kalman-prediction and linear-assignment baseline.,https://ieeexplore.ieee.org/document/7533003/
bodla2017softnms,Soft-{NMS}: Improving Object Detection with One Line of Code,10.1109/ICCV.2017.593,current_before_audit,keep,Detector frontend,Soft-NMS context.,current LaTeX citation and main.bib metadata
boxmot2023software,{BoxMOT}: Pluggable State-of-the-Art Multi-Object Tracking Modules,https://github.com/mikel-brostrom/boxmot,current_before_audit,keep,Implementation,Frozen BoxMOT implementation provenance.,current LaTeX citation and main.bib metadata
braso2020neuralsolver,Learning a Neural Solver for Multiple Object Tracking,current LaTeX citation and main.bib metadata,current_before_audit,keep,Related Work: graph MOT,Graph-based learned association.,current LaTeX citation and main.bib metadata
cai2025neusis,"{NEUSIS}: A Compositional Neuro-Symbolic Framework for Autonomous Perception, Reasoning, and Planning in Complex {UAV} Search Missions",10.1109/LRA.2025.3592098,prior_only,remove,Prior 54-page scope,Not required by the narrowed frozen-tracklet temporal-refinement narrative.,prior cited manuscript and retained main.bib metadata
cao2023ocsort,Observation-Centric {SORT}: Rethinking {SORT} for Robust Multi-Object Tracking,current LaTeX citation and main.bib metadata,current_before_audit,keep,Method and protocol,OC-SORT upstream tracker.,current LaTeX citation and main.bib metadata
chao2025bpdyolo,A Lightweight Small Object Detection Model for {UAV} Images Based on Deep Semantic Integration,10.1038/s41598-025-16878-6,prior_only,remove,Prior 54-page scope,Not required by the narrowed frozen-tracklet temporal-refinement narrative.,prior cited manuscript and retained main.bib metadata
ding2024adatrack,{ADA-Track}: End-to-End Multi-Camera {3D} Multi-Object Tracking with Alternating Detection and Association,prior cited manuscript and retained main.bib metadata,prior_only,remove,Prior 54-page scope,Not required by the narrowed frozen-tracklet temporal-refinement narrative.,prior cited manuscript and retained main.bib metadata
du2019visdrone,{VisDrone-DET2019}: The Vision Meets Drone Object Detection in Image Challenge Results,10.1109/ICCVW.2019.00030,current_before_audit,keep,Introduction and protocol,Source of the VisDrone example and dataset.,current LaTeX citation and main.bib metadata
du2021giaotracker,{GIAOTracker}: A Comprehensive Framework for {MCMOT} With Global Information and Optimizing Strategies in {VisDrone} 2021,current LaTeX citation and main.bib metadata,current_before_audit,keep,Related Work: post-tracking linking,Aerial global linking.,current LaTeX citation and main.bib metadata
du2023strongsort,{StrongSORT}: Make {DeepSORT} Great Again,10.1109/TMM.2023.3240881,current_before_audit,keep,Related Work and protocol,StrongSORT and AFLink baseline.,current LaTeX citation and main.bib metadata
emami2026frsicl,{FRSICL}: {LLM}-Enabled In-Context Learning Flight Resource Allocation for Fresh Data Collection in {UAV}-Assisted Wildfire Monitoring,10.1109/JIOT.2026.3666194,prior_only,remove,Prior 54-page scope,Not required by the narrowed frozen-tracklet temporal-refinement narrative.,prior cited manuscript and retained main.bib metadata
geifman2019selectivenet,{SelectiveNet}: A Deep Neural Network with an Integrated Reject Option,https://proceedings.mlr.press/v97/geifman19a.html,current_before_audit,keep,Related Work: selective association,Reject-option motivation.,current LaTeX citation and main.bib metadata
guo2017calibration,On Calibration of Modern Neural Networks,https://proceedings.mlr.press/v70/guo17a.html,current_before_audit,keep,Related Work: uncertainty,Calibration limitation.,current LaTeX citation and main.bib metadata
he2020cityscale,City-Scale Multi-Camera Vehicle Tracking by Semantic Attribute Parsing and Cross-Camera Tracklet Matching,current LaTeX citation and main.bib metadata,current_before_audit,keep,Related Work: graph MOT,Cross-camera tracklet matching.,current LaTeX citation and main.bib metadata
hou2024selectviews,Learning to Select Views for Efficient Multi-View Understanding,prior cited manuscript and retained main.bib metadata,prior_only,remove,Prior 54-page scope,Not required by the narrowed frozen-tracklet temporal-refinement narrative.,prior cited manuscript and retained main.bib metadata
hu2022where2comm,{Where2comm}: Communication-Efficient Collaborative Perception via Spatial Confidence Maps,https://proceedings.neurips.cc/paper_files/paper/2022/hash/1f5c5cd01b864d53cc5fa0a3472e152e-Abstract-Conference.html,current_before_audit,keep,Related Work: cooperation,Selective feature communication.,current LaTeX citation and main.bib metadata
hu2024universalyolo,A Universal Structure of {YOLO} Series Small Object Detection Models,current LaTeX citation and main.bib metadata,current_before_audit,keep,Related Work: small objects,Aerial small-object detection.,current LaTeX citation and main.bib metadata
hu2025csfprrtdetr,{CSFPR-RTDETR}: Real-Time Small Object Detection Network for {UAV} Images Based on Cross-Spatial-Frequency Domain and Position Relation,10.1109/TGRS.2025.3601828,prior_only,remove,Prior 54-page scope,Not required by the narrowed frozen-tracklet temporal-refinement narrative.,prior cited manuscript and retained main.bib metadata
jiang2024mffsodnet,{MFFSODNet}: Multi-Scale Feature Fusion Small Object Detection Network for {UAV} Aerial Images,10.1109/TIM.2024.3381272,current_before_audit,keep,Related Work: small objects,Aerial small-object detection.,current LaTeX citation and main.bib metadata
johns2016activemultiview,Pairwise Decomposition of Image Sequences for Active Multi-View Recognition,prior cited manuscript and retained main.bib metadata,prior_only,remove,Prior 54-page scope,Not required by the narrowed frozen-tracklet temporal-refinement narrative.,prior cited manuscript and retained main.bib metadata
li2025mmot,{MMOT}: The First Challenging Benchmark for Drone-Based Multispectral Multi-Object Tracking,current LaTeX citation and main.bib metadata,current_before_audit,keep,Protocol,MMOT benchmark source.,current LaTeX citation and main.bib metadata
