name,family,architecture_group,size,status,weights,local_weight_found,local_weight_path,public_code_hint,runnable_status,recommended_action,source,code
YOLOv10n,YOLO,yolo,nano,ultralytics_available_check,yolov10n.pt,true,/home/oem/projects/multi-uav-marine-city/yolov10n.pt,false,local_weight_found,Queue after active VisDrone/proposed jobs if the adapter matches the current trainer.,,
YOLOv10s,YOLO,yolo,small,already_in_queue,yolov10s.pt,true,/home/oem/projects/multi-uav-marine-city/yolov10s.pt,false,local_weight_found,Queue after active VisDrone/proposed jobs if the adapter matches the current trainer.,,
YOLOv10m,YOLO,yolo,medium,already_in_queue,yolov10m.pt,true,/home/oem/projects/multi-uav-marine-city/yolov10m.pt,false,local_weight_found,Queue after active VisDrone/proposed jobs if the adapter matches the current trainer.,,
LRDS-YOLO,LRDS-YOLO,yolo,lightweight,external_required,weights/lrds-yolo.pt;lrds-yolo.pt,false,,false,pass_no_public_github,Pass full reproduction for now; only test simple transferable mechanisms as our own ablations.,https://www.nature.com/articles/s41598-025-07021-6,
BPD-YOLO,BPD-YOLO,yolo,lightweight,citation_only_until_code,weights/bpd-yolo.pt;bpd-yolo.pt,false,,false,citation_only_until_code,Do not queue yet; cite the paper or stage compatible code/weights first.,https://pubmed.ncbi.nlm.nih.gov/40883434/,
SFFEF-YOLO,SFFEF-YOLO,yolo,lightweight,citation_only_until_code,weights/sffef-yolo.pt;sffef-yolo.pt,false,,false,citation_only_until_code,Do not queue yet; cite the paper or stage compatible code/weights first.,https://doi.org/10.1016/j.imavis.2025.105469,
SOD-YOLO,SOD-YOLO,yolo,lightweight,external_required,weights/sod-yolo.pt;sod-yolo.pt,false,,true,github_code_needs_adapter_or_checkpoint,Prioritize this candidate: stage repo/checkpoint or build a small adapter before running.,https://arxiv.org/abs/2507.12727,https://github.com/iamwangxiaobai/SOD-YOLO
DR-YOLO,DR-YOLO,yolo,lightweight,external_required,weights/dr-yolo.pt;dr-yolo.pt,false,,true,github_code_needs_adapter_or_checkpoint,Prioritize this candidate: stage repo/checkpoint or build a small adapter before running.,https://doi.org/10.1016/j.dsp.2025.105087,https://github.com/DRdairuiDR/DR-YOLO
LSOD-YOLO,LSOD-YOLO,yolo,lightweight,external_required,weights/lsod-yolo.pt;lsod-yolo.pt,false,,false,pass_no_public_github,Pass full reproduction for now; only test simple transferable mechanisms as our own ablations.,https://doi.org/10.1016/j.eswa.2025.126155,
GCL-YOLO,GCL-YOLO,yolo,lightweight,external_required,weights/gcl-yolo.pt;gcl-yolo.pt;external/GCL-YOLO/weights/gcl-yolo.pt;external/GCL-YOLO/runs/train/exp/weights/best.pt,false,,false,pass_no_public_github,Pass full reproduction for now; only test simple transferable mechanisms as our own ablations.,https://www.mdpi.com/2072-4292/15/20/4932,
SRTSOD-YOLO,SRTSOD-YOLO,yolo,lightweight,external_required,weights/srtsod-yolo.pt;srtsod-yolo.pt;external/SRTSOD-YOLO/weights/srtsod-yolo.pt;external/SRTSOD-YOLO/runs/train/exp/weights/best.pt,false,,false,pass_no_public_github,Pass full reproduction for now; only test simple transferable mechanisms as our own ablations.,https://www.mdpi.com/2072-4292/17/20/3414,
YOLO11s-UAV,YOLO11,yolo,small,external_required,weights/yolo11s-uav.pt;yolo11s-uav.pt;external/YOLO11s-UAV/weights/yolo11s-uav.pt;external/YOLO11s-UAV/runs/train/exp/weights/best.pt,false,,false,pass_no_public_github,Pass full reproduction for now; only test simple transferable mechanisms as our own ablations.,https://pmc.ncbi.nlm.nih.gov/articles/PMC12942582/,
MASF-YOLO,MASF-YOLO,yolo,small,external_required,weights/masf-yolo.pt;masf-yolo.pt,false,,false,pass_no_public_github,Pass full reproduction for now; only test simple transferable mechanisms as our own ablations.,https://arxiv.org/abs/2504.18136,
TOE-YOLO,TOE-YOLO,yolo,nano,external_required,weights/toe-yolo.pt;toe-yolo.pt,false,,false,pass_no_public_github,Pass full reproduction for now; only test simple transferable mechanisms as our own ablations.,https://doi.org/10.1007/s11554-025-01770-3,
MFR-YOLO,MFR-YOLO,yolo,medium,external_required,weights/mfr-yolo.pt;mfr-yolo.pt,false,,false,pass_no_public_github,Pass full reproduction for now; only test simple transferable mechanisms as our own ablations.,https://doi.org/10.1038/s41598-026-45641-8,
UAVDet,UAVDet,non_yolo,lightweight,external_required,weights/uavdet.pt;uavdet.pt,false,,false,pass_no_public_github,Pass full reproduction for now; only test simple transferable mechanisms as our own ablations.,https://doi.org/10.1016/j.cviu.2026.104637,
HF-D-FINE,D-FINE,non_yolo,small,external_required,weights/hf-d-fine.pt;hf-d-fine.pt,false,,false,pass_no_public_github,Pass full reproduction for now; only test simple transferable mechanisms as our own ablations.,https://doi.org/10.1016/j.imavis.2025.105834,
